POMONA PASSION  FROID,MOUSSES,"Mousse chocolat 10,2 cl",66317,Mousse chocolat noir (54Gx4)x12/48p Nova,,NOVLY,NOVANDIE,France,PLAQUE,de,4,POT(S), à  ,"0,44",€,POT,1
POMONA PASSION  FROID,MOUSSES,pot danette mousse liégeoise 80g,45201,Danette cr liegeoise choc (80Gx8x4) /32p,,DANONE,DANONE PRODUITS FRAIS France,France,PLAQUE,de,32,POT(S), à  ,"12,992",€,POT,1
POMONA PASSION  FROID,YAOURTS AROMATISES,Yaourt à boire sucré aux fruits 100 g,7988,Yt a boire fraise (100Gx4x6) M Nova,,MAMIE NOVA,NOVANDIE,France,PLAQUE,de,24,POT(S), à  ,"6,252",€,BT.,1
POMONA PASSION  FROID,YAOURTS AROMATISES,dessert crémeux à la fraise riche en proteines 100g,46969,Yopa 0% fraise (100Gx4)x6 Yoplait,,YOPLAIT,YOPLAIT,UE,PLAQUE,de,4,POT(S), à  ,"1,828",€,POT,4
POMONA PASSION  FROID,YAOURTS AROMATISES,Yaourt aromatisé  125 g,8748,Yt aromatise (125Gx4)x12 /48pot Yoplait,,YOPLAIT,YOPLAIT,UE,PLAQUE,de,4,POT(S), à  ,"0,424",€,POT,1
POMONA PASSION  FROID,YAOURTS AROMATISES,Yaourt aromatisé 125 g,27395,Yt aromatise (125Gx4)x12 /48p Danone,,DANONE,DANONE PRODUITS FRAIS France,France,PLAQUE,de,4,POT(S), à  ,"0,451",€,POT,1
POMONA PASSION  FROID,YAOURTS AROMATISES,pot activia aromatisé  citron 125g,32037,Activia saveur citron (125Gx4x6) /24pot,,ACTIVIA,DANONE PRODUITS FRAIS France,France,PLAQUE,de,24,POT(S), à  ,"8,832",€,POT,1
POMONA PASSION  FROID,YAOURTS AROMATISES,pot activia aromatisé vanille 125g,164143,Activia saveur vanille(125Gx12)x4/48 pot,,ACTIVIA,DANONE PRODUITS FRAIS France,France,PLAQUE,de,24,POT(S), à  ,"8,837",€,PU,1
POMONA PASSION  FROID,YAOURTS AROMATISES,pot activia aromatisé coco 125g,29392,Activia saveur noix coco (125Gx4x6) /24p,,ACTIVIA,DANONE PRODUITS FRAIS France,France,PLAQUE,de,24,POT(S), à  ,"8,832",€,POT,1
POMONA PASSION  FROID,YAOURTS AROMATISES,yaourt bio lait de 2 vaches 115g vanille,28290,2 vaches vanille BIO (115Gx4x4) /16pot,,DANONE,DANONE PRODUITS FRAIS France,,PLAQUE,de,16,POT(S), à  ,"3,938",€,POT,1
POMONA PASSION  FROID,YAOURTS AROMATISES,yaourt bio lait de 2 vaches 115g pèche,23002,#2 vaches Fruikimix peche BIO(115Gx4x4),,DANONE,DANONE PRODUITS FRAIS France,,PLAQUE,de,16,POT(S), à  ,"4,64",€,POT,1
POMONA PASSION  FROID,YAOURTS AROMATISES,yaourt bio lait de 2 vaches 115g framboise,61302,2 vaches framboise BIO (115Gx4x4) /16pot,,DANONE,DANONE PRODUITS FRAIS France,UE,PLAQUE,de,16,POT(S), à  ,"4,841",€,POT,1
POMONA PASSION  FROID,YAOURTS AUX FRUITS,Yaourt fruits  125 g,13148,Yt Danone et Fruit panachés (125Gx8)x6,,DANONE,DANONE PRODUITS FRAIS France,France,PLAQUE,de,8,POT(S), à  ,"1,223",€,POT,1
POMONA PASSION  FROID,YAOURTS AUX FRUITS,pot velouté fruix panaché 125g,44556,Yt veloute frt mix panach (125Gx8)x6/48p,,DANONE,DANONE PRODUITS FRAIS France,France,PLAQUE,de,8,POT(S), à  ,"1,272",€,POT,1
POMONA PASSION  FROID,YAOURTS AUX FRUITS,Yaourt fruits 125 g,67069,Yt fruit 5% 1/2 ecreme(125Gx4)x12 Nova,,NOVLY,NOVANDIE,France,PLAQUE,de,4,POT(S), à  ,"0,624",€,POT,1
POMONA PASSION  FROID,YAOURTS AUX FRUITS,Yaourt fruits lait entier 125 g,24262,Yt panier frt panache (125Gx4)x12 /48p,,YOPLAIT,YOPLAIT,UE,PLAQUE,de,4,POT(S), à  ,"0,665",€,POT,1
POMONA PASSION  FROID,YAOURTS AUX FRUITS,Yaourt fruits 0 %MG  125 g,9342,Yt panier de fruits 0% (125Gx4)x12 /48p,,YOPLAIT,YOPLAIT,UE,PLAQUE,de,4,POT(S), à  ,"0,767",€,POT,1
POMONA PASSION  FROID,YAOURTS AUX FRUITS,Yaourt fruits brassé 125 g,8421,Bulgy fruit mixe panache(125Gx4)x12 /48p,,NOVLY,NOVANDIE,France,PLAQUE,de,4,POT(S), à  ,"0,661",€,POT,1
POMONA PASSION  FROID,YAOURTS NATURES,Yaourt ACTIVIA nature  125 g,8845,Activia nature (125Gx4)x6 /24pot Danone,,ACTIVIA,DANONE PRODUITS FRAIS France,France,PLAQUE,de,4,POT(S), à  ,"1,336",€,POT,1
POMONA PASSION  FROID,YAOURTS NATURES,Yaourt brassé nature lait entier 125 g,8420,Bulgy nature lait entier (125Gx4)x12/48p,,NOVLY,NOVANDIE,France,PLAQUE,de,4,POT(S), à  ,"0,722",€,POT,1
POMONA PASSION  FROID,YAOURTS NATURES,Yaourt nature  1/2 écrémé 125 g,27425,Yt nature (125Gx4)x12 48pot Danone,,DANONE,DANONE PRODUITS FRAIS France,France,PLAQUE,de,4,POT(S), à  ,"0,392",€,POT,1
POMONA PASSION  FROID,YAOURTS NATURES,Yaourt nature  1/2 écrémé 125 g,8422,Yt nature vit D (125Gx4)x12 /48pot Nova,,NOVLY,NOVANDIE,France,PLAQUE,de,24,POT(S), à  ,"2,388",€,POT,1
POMONA PASSION  FROID,YAOURTS NATURES,Yaourt nature lait  entier 125 g,25507,Yt nature lait ent (125Gx4x12)/48p Nova,,NOVLY,NOVANDIE,France,PLAQUE,de,48,POT(S), à  ,"7,089",€,POT,1
POMONA PASSION  FROID,YAOURTS NATURES,Yaourt nature sucré 1/2 écrémé  125 g,27427,Yt nat sucre (125Gx4)x12 /48p Danone,,DANONE,DANONE PRODUITS FRAIS France,France,PLAQUE,de,4,POT(S), à  ,"0,392",€,POT,1
POMONA PASSION  FROID,YAOURTS NATURES,Yaourt nature sucré 1/2 écrémé  125 g,8744,Yt nat sucre (125Gx4)x12 /48pot Yoplait,,YOPLAIT,YOPLAIT,UE,PLAQUE,de,4,POT(S), à  ,"0,404",€,POT,1
POMONA PASSION  FROID,YAOURTS NATURES,yaourt bio lait de 2 vaches 115g nature,28289,2 vaches nature BIO (115Gx4x4) /16pot,,DANONE,DANONE PRODUITS FRAIS France,,PLAQUE,de,16,POT(S), à  ,"4,032",€,POT,1
POMONA PASSION  FROID,YAOURTS NATURES,yaourt nature au lait de brebis 125g,41965,Yt nat brebis BIO (120Gx4x6) /24pot Vrai,,VRAI,TRIBALLAT NOYAL,,PLAQUE,de,24,POT(S), à  ,"14,64",€,POT,1
POMONA PASSION  FROID,PATES PERSILLEES,Bleu  50 % MG 250 g,44871,Coeur de bleu 31% 250Gx12,,FROMAGE ET TERROIRS,FROMAGES ET TERROIRS,UE,PRIX,de,"0,25",KG, à  ,"1,436",€,PU,1
POMONA PASSION  FROID,PATES PERSILLEES,Bleu d'Auvergne AOP 45 %MG,26125,"Bleu auvergne 1/2 pain AOP 26%1,3KGenvx4",,SANS MARQUE,SANS MARQUE,,PRIX,de,1,KG, à  ,"5,641",€,KG,"1,3"
POMONA PASSION  FROID,PATES PERSILLEES,Bleu pain rectangulaire 50 % MG,60279,"Bleu pain 26% 1,9KGx2p /3,8KG PPF",,POMONA PASSION FROID,FROMAGERIE OCCITANES,Union Europ.,PRIX,de,1,KG, à  ,"4,821",€,KG,"1,9"
POMONA PASSION  FROID,PATES PERSILLEES,Fourme d'Ambert  AOP 50 % MG,26120,"Fourme ambert AOP 26% 2,3KGenvx2/4,6KG",,SANS MARQUE,SANS MARQUE,,PRIX,de,1,KG, à  ,"5,85",€,KG,"2,3"
POMONA PASSION  FROID,PATES PERSILLEES,Roquefort AOP en dés 52% MG,40268,Roquefort AOP des 32% 500Gx6 VDC,,LA VIE DE CHÂTEAU,FROMAGERIE OCCITANES,France,BARQUETTE,de,"0,5",KG, à  ,"6,103",€,BQT,1
POMONA PASSION  FROID,PATES PERSILLEES,Roquefort AOP  52% MG,44365,"Roquefort 1/2 pain AOP 32% 1,5KGx4p /6KG",,SANS MARQUE,SANS MARQUE,France,PRIX,de,1,KG, à  ,"10,615",€,KG,"1,5"
POMONA PASSION  FROID,FROMAGE SPECIALITE ETRANGERE,Edam  45 %MG,31189,"Edam pain sv 24,1% 2,5KGenvx6 /15KG CADI",,SANS MARQUE,PER INTER,,PRIX,de,1,KG, à  ,"3,738",€,KG,"2,5"
POMONA PASSION  FROID,FROMAGE SPECIALITE ETRANGERE,Gouda pain  boule 48 %MG,40599,"Gouda pain 27% 2,5KGx6 /15KG Cadi",,SANS MARQUE,PER INTER,,PRIX,de,1,KG, à  ,"3,744",€,KG,"2,5"
POMONA PASSION  FROID,FROMAGE SPECIALITE ETRANGERE,Mascarpone 80%MG pot de 500gr,37991,Mascarpone 40% 500Gx6 Casa Azzura,,SANS MARQUE,CODIPAL,UE,POT,de,"0,5",KG, à  ,"2,369",€,POT,1
POMONA PASSION  FROID,FROMAGE SPECIALITE ETRANGERE,Mimolette boule 40%MG,36212,Mimolette pain 24% 3KGx5 /15KG,,FRICO,SANS MARQUE,Pays-Bas,PRIX,de,1,KG, à  ,"4,103",€,KG,1
POMONA PASSION  FROID,FROMAGE SPECIALITE ETRANGERE,Mimolette en dés 40%MG,32258,Mimolette des 24% 500Gx12 VergeerHolland,,VERGEER HOLLAND,VERGEER HOLLAND,Allemagne - Pays-Bas,BARQUETTE,de,"0,5",KG, à  ,"2,615",€,SAC,1
POMONA PASSION  FROID,FROMAGE SPECIALITE ETRANGERE,Fromage de brebis en dés  500 g,39762,"Brebis des 24,5% 500Gx6",,LA VIE DE CHÂTEAU,FROMAGERIE OCCITANES,France,BARQUETTE,de,"0,5",KG, à  ,"4,308",€,BQT,1
POMONA PASSION  FROID,FROMAGE SPECIALITE ETRANGERE,Mozzarella  45 % MG,43986,"Mozza pain souple 20,1% 1KGx8 Locatelli",,SANS MARQUE,LACTALIS CHF,UE,PRIX,de,1,KG, à  ,"4,7",€,KG,1
POMONA PASSION  FROID,PATES PRESSEES CUITES,Comté supérieur aoc 45 % MG,44354,Comte lt cru extra 1/12 AOP 32% 3KGx3p,,ERMITAGE,SANS MARQUE,France,PRIX,de,1,KG, à  ,"9,263",€,KG,3
POMONA PASSION  FROID,PATES PRESSEES CUITES,Comté 1er prix aoc 45 % MG,,,,,,,,de,0,, à  ,0,€,,
POMONA PASSION  FROID,PATES PRESSEES CUITES,Emmental 16g 66x30,,,,,,,,de,0,, à  ,0,€,,
POMONA PASSION  FROID,PATES PRESSEES CUITES,Emmental dés 45 %MG 500 g,42736,"Des emmental  28,5% 500Gx12 Vergeer",,VERGEER HOLLAND,VERGEER HOLLAND,Allemagne - Danemark - Pays-Bas,SACHET,de,"0,5",KG, à  ,"2,513",€,SAC,1
POMONA PASSION  FROID,PATES PRESSEES CUITES,Emmental bloc  45 %MG,8230,"Emmental bloc 29% 3,5KG env x3 PPF",,POMONA PASSION FROID,POMONA PassionFroid,UE,PRIX,de,1,KG, à  ,"4,287",€,KG,"3,5"
